"","OCC_TITLE","TOT_EMP","EMP_PRSE","A_MEAN","MEAN_PRSE","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"45","Mining and Geological Engineers, Including Mining Safety Engineers",7370,3.7,100450,1.1,48690,70110,97090,127530,162720
"46","Nuclear Engineers",12670,5.1,121760,2.3,75460,93840,120380,136240,169000
"47","Nuclear Engineers",12670,5.1,121760,2.3,75460,93840,120380,136240,169000
"48","Miscellaneous Engineers",151940,1.6,107800,0.6,58730,77560,100640,130650,164690
"49","Engineers, All Other",151940,1.6,107800,0.6,58730,77560,100640,130650,164690
"50","Drafters, Engineering Technicians, and Mapping Technicians",628600,0.7,62420,0.3,37100,47090,60290,76600,95860
"51","Architectural and Civil Drafters",101310,1.7,60620,0.6,37370,47450,60340,74940,80560
"52","Engineering Technologists and Technicians, Except Drafters",387330,0.8,64600,0.4,37440,47490,60690,77380,97790
"53","Aerospace Engineering and Operations Technologists and Technicians",10900,5.1,73510,1.7,47040,57780,73580,94530,103260
"54","Civil Engineering Technologists and Technicians",64170,1.9,58000,0.8,36550,42110,58320,73280,79650
"55","Electrical and Electronic Engineering Technologists and Technicians",101450,1.4,69070,0.5,39840,49330,63640,79080,99210
"56","Environmental Engineering Technologists and Technicians",14910,5.5,56590,1.5,35870,37850,48390,66870,84740
"57","Industrial Engineering Technologists and Technicians",62030,2,61230,0.5,37790,47410,60220,75600,85530
"58","Mechanical Engineering Technologists and Technicians",40180,2.2,63390,0.6,37670,47700,60460,76600,95300
"59","Engineering Technologists and Technicians, Except Drafters, All Other",73600,1.8,68290,0.6,37530,47690,61950,81490,101240
"60","Mathematical Science Teachers, Postsecondary",44140,0.3,87980,0.4,45280,60310,77580,103420,155350
"61","Engineering and Architecture Teachers, Postsecondary",41380,0.7,113150,0.3,58370,78020,103340,134350,174500
"62","Architecture Teachers, Postsecondary",5950,1.8,98600,0.4,48720,64490,95160,124440,157700
"63","Engineering Teachers, Postsecondary",35440,0.6,115590,0.4,60380,78130,104940,134760,182590
"64","Sound Engineering Technicians",10800,10,67360,3,29110,42100,60500,79730,124690
"65","Models, Demonstrators, and Product Promoters",42670,3.8,39550,5.6,23790,29040,32730,41750,57620
"66","Demonstrators and Product Promoters",40680,3.9,36990,1.6,23870,29040,32350,40130,53410
"67","Sales Engineers",59550,2.9,118630,0.9,62300,79900,103710,155110,182850
"68","Sales Engineers",59550,2.9,118630,0.9,62300,79900,103710,155110,182850
"69","Data Entry and Information Processing Workers",189100,1.5,37590,0.4,26000,29650,36850,45980,48870
"70","Data Entry Keyers",147170,1.7,35940,0.4,24510,29310,35630,39230,47700
"71","Operating Engineers and Other Construction Equipment Operators",404820,0.7,56280,0.4,36150,38570,48360,62690,85560
"72","Stationary Engineers and Boiler Operators",29820,2.3,70510,0.6,44260,49760,63500,80730,100690
"73","Stationary Engineers and Boiler Operators",29820,2.3,70510,0.6,44260,49760,63500,80730,100690
"74","Locomotive Engineers and Operators",43440,1.3,71410,0.9,48120,61430,78680,81910,83100
"75","Locomotive Engineers",38980,1.3,72940,1,48780,62410,79740,82050,84120
"76","Rail Yard Engineers, Dinkey Operators, and Hostlers",4460,4.5,58070,1,38550,47350,61090,64500,79270
"77","Ship Engineers",7650,4.2,96910,2.2,49420,64330,82410,105910,139410
"78","Ship Engineers",7650,4.2,96910,2.2,49420,64330,82410,105910,139410
